uploader_id,channel,channel_id,channel_follower_count,creator,artist,title,thumbnail,id,duration,duration_string,view_count,like_count,comment_count,repost_count,average_rating,categories,tags,language,age_limit,live_status,was_live,availability,playlist,playlist_id,playlist_title,playlist_index,n_entries,fps,resolution,format_id,ext,vcodec,acodec,dynamic_range,aspect_ratio,filesize,tbr,vbr,abr,asr,audio_channels,extractor,extractor_key,webpage_url,original_url,webpage_url_basename,webpage_url_domain,upload_date,timestamp,release_date,release_timestamp,modified_date,license,epoch
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,Timor 100%,https://i.ytimg.com/vi/wrPhIX6AicA/maxresdefault.jpg,wrPhIX6AicA,105,1:45,2940,132,32,,,['Gaming'],"['games', 'twitch']",en,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,,591.913,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=wrPhIX6AicA,https://www.youtube.com/watch?v=wrPhIX6AicA,watch,youtube.com,20230524,1684971403,,,,,1785167430
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,Eternal moment 100%,https://i.ytimg.com/vi/VU2S7PSgxJs/maxresdefault.jpg,VU2S7PSgxJs,75,1:15,3428,155,37,,,['Gaming'],"['games', 'twitch']",,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,,692.702,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=VU2S7PSgxJs,https://www.youtube.com/watch?v=VU2S7PSgxJs,watch,youtube.com,20230517,1684289828,,,,,1785167432
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,Devil vortex 100%,https://i.ytimg.com/vi/UtHVB0G_-jM/maxresdefault.jpg,UtHVB0G_-jM,118,1:58,4658,190,30,,,['Gaming'],"['games', 'twitch']",en,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,,482.229,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=UtHVB0G_-jM,https://www.youtube.com/watch?v=UtHVB0G_-jM,watch,youtube.com,20230510,1683678539,,,,,1785167433
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,Slaughterhouse 200 persons,https://i.ytimg.com/vi/fgJNBvxF_Eo/hqdefault.jpg?sqp=-oaymwEmCOADEOgC8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGH8gFCgTMA8=&rs=AOn4CLDKznWIszpJ5QgwO056_paV2teXNw&usqp=CBc,fgJNBvxF_Eo,161,2:41,12989,504,103,,,['Gaming'],[],,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,,466.232,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=fgJNBvxF_Eo,https://www.youtube.com/watch?v=fgJNBvxF_Eo,watch,youtube.com,20230503,1683154727,,,,,1785167435
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,Acheron 97% (fluke from 69),https://i.ytimg.com/vi/80uCyNJ-oXE/hqdefault.jpg,80uCyNJ-oXE,80,1:20,20499,665,186,,,['Gaming'],[],,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,,650.971,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=80uCyNJ-oXE,https://www.youtube.com/watch?v=80uCyNJ-oXE,watch,youtube.com,20230429,1682727293,,,,,1785167437
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,"Frozen cave, ACHERON 31 BUG 100% (fixed yay)",https://i.ytimg.com/vi/AIlgJ6ggXfs/maxresdefault.jpg,AIlgJ6ggXfs,100,1:40,4081,198,26,,,['Gaming'],"['games', 'twitch']",en,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,,591.508,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=AIlgJ6ggXfs,https://www.youtube.com/watch?v=AIlgJ6ggXfs,watch,youtube.com,20230424,1682300932,,,,,1785167439
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,(sad video) acheron update IMPORTANT!,https://i.ytimg.com/vi/rEH_Jq_fITI/maxresdefault.jpg,rEH_Jq_fITI,248,4:08,4164,197,28,,,['Gaming'],[],en,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,,226.214,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=rEH_Jq_fITI,https://www.youtube.com/watch?v=rEH_Jq_fITI,watch,youtube.com,20230419,1681872080,,,,,1785167441
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,Acheron 69,https://i.ytimg.com/vi/lKwBrxL_htU/maxresdefault.jpg,lKwBrxL_htU,50,50,6564,220,51,,,['Gaming'],[],,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,,719.471,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=lKwBrxL_htU,https://www.youtube.com/watch?v=lKwBrxL_htU,watch,youtube.com,20230413,1681396880,,,,,1785167443
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,Acheron 36-100,https://i.ytimg.com/vi/CeJQn7Gm5BQ/hqdefault.jpg,CeJQn7Gm5BQ,120,2:00,3156,176,79,,,['Gaming'],[],en,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,,611.631,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=CeJQn7Gm5BQ,https://www.youtube.com/watch?v=CeJQn7Gm5BQ,watch,youtube.com,20230411,1681184237,,,,,1785167445
@wpopoff6461,wPopoff,UC4KyIYZD1CfGCsfgB6b9gAw,251000,,,Acheron 47%,https://i.ytimg.com/vi/2zvZTkasmLA/hqdefault.jpg?sqp=-oaymwEmCOADEOgC8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGGUgZShlMA8=&rs=AOn4CLDAwj0tM6z6b2v-WAKLuiWLnQXSlQ&usqp=CBc,2zvZTkasmLA,63,1:03,3101,166,45,,,['Gaming'],[],en,0,not_live,False,public,,,,,,30,640x360,18,mp4,avc1.42001E,mp4a.40.2,SDR,1.78,4238149,541.616,,,44100,2,youtube,Youtube,https://www.youtube.com/watch?v=2zvZTkasmLA,https://www.youtube.com/watch?v=2zvZTkasmLA,watch,youtube.com,20230407,1680893810,,,,,1785167447
